,duration,pdays,previous,poutcome,emp.var.rate,euribor3m,nr.employed,y
0,261,999,0,nonexistent,1.1,4.857,5191.0,no
1,149,999,0,nonexistent,1.1,4.857,5191.0,no
2,226,999,0,nonexistent,1.1,4.857,5191.0,no
3,151,999,0,nonexistent,1.1,4.857,5191.0,no
4,307,999,0,nonexistent,1.1,4.857,5191.0,no
5,198,999,0,nonexistent,1.1,4.857,5191.0,no
6,139,999,0,nonexistent,1.1,4.857,5191.0,no
7,217,999,0,nonexistent,1.1,4.857,5191.0,no
8,380,999,0,nonexistent,1.1,4.857,5191.0,no
9,50,999,0,nonexistent,1.1,4.857,5191.0,no
10,55,999,0,nonexistent,1.1,4.857,5191.0,no
11,222,999,0,nonexistent,1.1,4.857,5191.0,no
12,137,999,0,nonexistent,1.1,4.857,5191.0,no
13,293,999,0,nonexistent,1.1,4.857,5191.0,no
14,146,999,0,nonexistent,1.1,4.857,5191.0,no
15,174,999,0,nonexistent,1.1,4.857,5191.0,no
16,312,999,0,nonexistent,1.1,4.857,5191.0,no
17,440,999,0,nonexistent,1.1,4.857,5191.0,no
18,353,999,0,nonexistent,1.1,4.857,5191.0,no
19,195,999,0,nonexistent,1.1,4.857,5191.0,no
20,38,999,0,nonexistent,1.1,4.857,5191.0,no
21,262,999,0,nonexistent,1.1,4.857,5191.0,no
22,342,999,0,nonexistent,1.1,4.857,5191.0,no
23,181,999,0,nonexistent,1.1,4.857,5191.0,no
24,172,999,0,nonexistent,1.1,4.857,5191.0,no
25,99,999,0,nonexistent,1.1,4.857,5191.0,no
26,93,999,0,nonexistent,1.1,4.857,5191.0,no
27,233,999,0,nonexistent,1.1,4.857,5191.0,no
28,255,999,0,nonexistent,1.1,4.857,5191.0,no
29,362,999,0,nonexistent,1.1,4.857,5191.0,no
30,348,999,0,nonexistent,1.1,4.857,5191.0,no
31,386,999,0,nonexistent,1.1,4.857,5191.0,no
32,73,999,0,nonexistent,1.1,4.857,5191.0,no
33,230,999,0,nonexistent,1.1,4.857,5191.0,no
34,208,999,0,nonexistent,1.1,4.857,5191.0,no
35,336,999,0,nonexistent,1.1,4.857,5191.0,no
36,365,999,0,nonexistent,1.1,4.857,5191.0,no
37,1666,999,0,nonexistent,1.1,4.857,5191.0,no
38,577,999,0,nonexistent,1.1,4.857,5191.0,no
39,137,999,0,nonexistent,1.1,4.857,5191.0,no
40,366,999,0,nonexistent,1.1,4.857,5191.0,no
41,314,999,0,nonexistent,1.1,4.857,5191.0,no
42,160,999,0,nonexistent,1.1,4.857,5191.0,no
43,212,999,0,nonexistent,1.1,4.857,5191.0,no
44,188,999,0,nonexistent,1.1,4.857,5191.0,no
45,22,999,0,nonexistent,1.1,4.857,5191.0,no
46,616,999,0,nonexistent,1.1,4.857,5191.0,no
47,178,999,0,nonexistent,1.1,4.857,5191.0,no
48,355,999,0,nonexistent,1.1,4.857,5191.0,no
49,225,999,0,nonexistent,1.1,4.857,5191.0,no
50,160,999,0,nonexistent,1.1,4.857,5191.0,no
51,266,999,0,nonexistent,1.1,4.857,5191.0,no
52,253,999,0,nonexistent,1.1,4.857,5191.0,no
53,179,999,0,nonexistent,1.1,4.857,5191.0,no
54,269,999,0,nonexistent,1.1,4.857,5191.0,no
55,135,999,0,nonexistent,1.1,4.857,5191.0,no
56,161,999,0,nonexistent,1.1,4.857,5191.0,no
57,787,999,0,nonexistent,1.1,4.857,5191.0,no
58,145,999,0,nonexistent,1.1,4.857,5191.0,no
59,174,999,0,nonexistent,1.1,4.857,5191.0,no
60,449,999,0,nonexistent,1.1,4.857,5191.0,no
61,812,999,0,nonexistent,1.1,4.857,5191.0,no
62,164,999,0,nonexistent,1.1,4.857,5191.0,no
63,366,999,0,nonexistent,1.1,4.857,5191.0,no
